Landingpage,Sitzungen,Neue Nutzer
/ferien/d/bundesland/niedersachsen,48.753,41.661
/,24.949,13.737
/ferien/d/stadt/stuttgart,22.535,18.922
/ferien/d/stadt/koeln,19.813,16.526
/ferien/d/stadt/mannheim,19.318,15.477
/ferien/d/stadt/frankfurt-am-main,18.842,15.833
/ferien/d/bundesland/bayern,16.900,14.329
/ferien/d/stadt/muenchen,16.558,13.250
/ferien/d/bundesland/nordrhein-westfalen,13.859,12.037
/ferien/d/stadt/dortmund,13.008,10.283
/ferien/d/bundesland/bayern/schulbeginn,11.630,10.386
/ferien/d/bundesland/nordrhein-westfalen/schulbeginn,10.735,9.621
/ferien/d/stadt/essen,10.556,8.507
/ferien/d/stadt/bremerhaven,10.416,7.896
/ferien/d/stadt/nuernberg,10.324,8.306
/ferien/d/stadt/duesseldorf,10.060,8.365
/ferien/d/stadt/freiburg-im-breisgau,9.986,8.402
/ferien/d/stadt/karlsruhe,8.826,7.421
/ferien/d/stadt/berlin,8.790,7.317
/ferien/d/stadt/hessen,8.781,7.958
/ferien/d/stadt/dresden,8.148,6.759
/ferien/d/stadt/bielefeld,8.089,6.429
/ferien/d/bundesland/baden-wuerttemberg/schulbeginn,8.067,7.262
/ferien/d/stadt/luebeck,7.465,6.103
/ferien/d/bundesland/thueringen,7.237,6.408
/ferien/d/stadt/ludwigshafen-am-rhein,7.071,5.136
/ferien/d/stadt/braunschweig,7.016,5.566
/brueckentage/d/bundesland/hamburg/2022,6.966,5.938
/ferien/d/stadt/hannover,6.946,5.569
/ferien/d/stadt/magdeburg,6.932,5.467
/ferien/d/stadt/mainz,6.729,5.411
/ferien/d/stadt/bonn,6.524,5.425
/ferien/d/stadt/osnabrueck,6.439,5.004
/ferien/d/stadt/aachen,6.290,4.961
/ferien/d/stadt/heidelberg,6.274,5.341
/ferien/d/stadt/rostock,6.111,4.796
/ferien/d/bundesland/niedersachsen/schulbeginn,6.072,5.345
/brueckentage/d/bundesland/brandenburg/2022,5.932,5.041
/ferien/d/stadt/potsdam,5.834,4.697
